Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
198.0,COALINGA CREEK,100.0,100.0,90,100.0,140.0,140,140.0,100.0,90.0,90.0,198.0,COALINGA CREEK,1150.0,970.0,880,980.0,1100.0,1100,1100.0,1000.0,1000.0,900.0,198.0,COALINGA CREEK,920.0,890.0,800,900.0,1000.0,1000,1000.0,850.0,860.0,840.0,198.0,COALINGA CREEK,90.0,100.0,90,100.0,150.0,150,150.0,100.0,90.0,90.0,198.0,COALINGA CREEK,1250.0,970.0,880,980.0,1150.0,1150,1150.0,1050.0,1050.0,950.0,198.0,COALINGA CREEK,930.0,890.0,820,900.0,1050.0,1050,1050.0,870.0,880.0,860.0
198.0,"COALINGA, 8TH/POLK STREETS",460.0,390.0,110,,,450,460.0,,320.0,310.0,198.0,"COALINGA, 8TH/POLK STREETS",5100.0,3700.0,1050,,,3650,3700.0,,3550.0,3350.0,198.0,"COALINGA, 8TH/POLK STREETS",4450.0,3500.0,990,,,3450,3500.0,,3200.0,3100.0,198.0,"COALINGA, 8TH/POLK STREETS",780.0,800.0,390,,,840,840.0,,670.0,650.0,198.0,"COALINGA, 8TH/POLK STREETS",8600.0,7700.0,3700,,,7400,7500.0,,7300.0,7000.0,198.0,"COALINGA, 8TH/POLK STREETS",7300.0,7300.0,3500,,,7000,7100.0,,6500.0,6400.0
198.0,"COALINGA, SOUTH CITY LIMITS",120.0,110.0,100,110.0,150.0,150,150.0,120.0,110.0,100.0,198.0,"COALINGA, SOUTH CITY LIMITS",1550.0,1050.0,970,1050.0,1250.0,1250,1250.0,1200.0,1200.0,1100.0,198.0,"COALINGA, SOUTH CITY LIMITS",1150.0,990.0,890,1000.0,1150.0,1150,1150.0,1050.0,1050.0,1000.0,198.0,"COALINGA, SOUTH CITY LIMITS",460.0,390.0,110,420.0,440.0,450,460.0,360.0,320.0,310.0,198.0,"COALINGA, SOUTH CITY LIMITS",5100.0,3700.0,1050,3750.0,3600.0,3650,3700.0,3500.0,3550.0,3350.0,198.0,"COALINGA, SOUTH CITY LIMITS",4450.0,3500.0,990,3550.0,3400.0,3450,3500.0,3150.0,3200.0,3100.0
198.0,FIRESTONE AVENUE,110.0,100.0,100,110.0,140.0,140,140.0,,90.0,90.0,198.0,FIRESTONE AVENUE,1400.0,970.0,970,980.0,1150.0,1150,1150.0,,1050.0,950.0,198.0,FIRESTONE AVENUE,1050.0,890.0,890,900.0,1050.0,1050,1050.0,,880.0,860.0,198.0,FIRESTONE AVENUE,120.0,110.0,100,110.0,150.0,150,150.0,,110.0,100.0,198.0,FIRESTONE AVENUE,1550.0,1050.0,970,1050.0,1250.0,1250,1250.0,,1200.0,1100.0,198.0,FIRESTONE AVENUE,1150.0,990.0,890,1000.0,1150.0,1150,1150.0,,1050.0,1000.0
198.0,FRESNO/KINGS COUNTY LINE,610.0,490.0,350,520.0,500.0,510,510.0,560.0,550.0,540.0,198.0,FRESNO/KINGS COUNTY LINE,5300.0,5800.0,4150,5900.0,5700.0,5800,5900.0,5900.0,6000.0,5500.0,198.0,FRESNO/KINGS COUNTY LINE,4500.0,4850.0,3650,5000.0,5000.0,5100,5200.0,5000.0,5100.0,5000.0,198.0,FRESNO/KINGS COUNTY LINE,,,340,,,0,,,,,198.0,FRESNO/KINGS COUNTY LINE,,,4150,,,0,,,,,198.0,FRESNO/KINGS COUNTY LINE,,,3500,,,0,,,,
198.0,JCT. RTE. 269,690.0,350.0,190,360.0,400.0,400,400.0,460.0,420.0,400.0,198.0,JCT. RTE. 269,5900.0,4150.0,2000,4250.0,4550.0,4600,4650.0,4650.0,4750.0,4300.0,198.0,JCT. RTE. 269,5000.0,3650.0,1850,3700.0,3950.0,4000,4050.0,4000.0,4100.0,4000.0,198.0,JCT. RTE. 269,650.0,340.0,350,350.0,520.0,530,530.0,590.0,530.0,520.0,198.0,JCT. RTE. 269,5600.0,4150.0,4150,4200.0,5900.0,6000,6100.0,6100.0,6200.0,5500.0,198.0,JCT. RTE. 269,4800.0,3500.0,3650,3600.0,5200.0,5300,5400.0,5100.0,5200.0,5100.0
198.0,JCT. RTE. 33,640.0,750.0,390,770.0,820.0,830,830.0,720.0,650.0,630.0,198.0,JCT. RTE. 33,7300.0,7100.0,3700,7200.0,7200.0,7300,7400.0,7100.0,7200.0,6900.0,198.0,JCT. RTE. 33,6700.0,6800.0,3500,6900.0,6800.0,6900,7000.0,6300.0,6400.0,6300.0,198.0,JCT. RTE. 33,850.0,190.0,800,190.0,190.0,190,190.0,210.0,190.0,180.0,198.0,JCT. RTE. 33,11700.0,2000.0,7700,2000.0,2050.0,2050,2050.0,2000.0,2000.0,1950.0,198.0,JCT. RTE. 33,9000.0,1850.0,7300,1850.0,1900.0,1900,1900.0,1850.0,1850.0,1800.0
198.0,JCT. RTE. 5,200.0,190.0,750,190.0,190.0,190,190.0,210.0,190.0,180.0,198.0,JCT. RTE. 5,2050.0,2000.0,7100,2000.0,2050.0,2050,2050.0,2000.0,2050.0,2000.0,198.0,JCT. RTE. 5,1800.0,1850.0,6800,1850.0,1900.0,1900,1900.0,1850.0,1900.0,1850.0,198.0,JCT. RTE. 5,460.0,350.0,190,360.0,450.0,460,440.0,480.0,440.0,420.0,198.0,JCT. RTE. 5,5900.0,4150.0,2000,4200.0,4800.0,4850,4900.0,4600.0,4700.0,4500.0,198.0,JCT. RTE. 5,3950.0,3650.0,1850,3700.0,4150.0,4200,4250.0,4200.0,4300.0,4200.0
198.0,MONTEREY/FRESNO COUNTY LINE,,,160,,,0,,,,,198.0,MONTEREY/FRESNO COUNTY LINE,,,1100,,,0,,,,,198.0,MONTEREY/FRESNO COUNTY LINE,,,700,,,0,,,,,198.0,MONTEREY/FRESNO COUNTY LINE,140.0,100.0, ,100.0,120.0,100,100.0,100.0,90.0,90.0,198.0,MONTEREY/FRESNO COUNTY LINE,1250.0,800.0, ,810.0,980.0,980,990.0,900.0,910.0,900.0,198.0,MONTEREY/FRESNO COUNTY LINE,1000.0,710.0, ,710.0,800.0,830,840.0,840.0,850.0,830.0
198.0,PARKFIELD JUNCTION,130.0,90.0, ,90.0,120.0,100,100.0,100.0,90.0,90.0,198.0,PARKFIELD JUNCTION,1100.0,880.0, ,890.0,980.0,980,990.0,900.0,910.0,900.0,198.0,PARKFIELD JUNCTION,850.0,800.0, ,810.0,830.0,830,840.0,840.0,850.0,830.0,198.0,PARKFIELD JUNCTION,130.0,90.0,100,90.0,120.0,120,120.0,100.0,90.0,90.0,198.0,PARKFIELD JUNCTION,1000.0,880.0,800,890.0,990.0,990,990.0,900.0,910.0,900.0,198.0,PARKFIELD JUNCTION,850.0,820.0,700,830.0,840.0,840,840.0,840.0,850.0,830.0
