Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
269.0,JCT. RTE. 145,350.0,290.0,570,320.0,300.0,300,310.0,280.0,260.0,260.0,269.0,JCT. RTE. 145,3750.0,2900.0,5300,3100.0,3050.0,3050,3100.0,3100.0,3200.0,3150.0,269.0,JCT. RTE. 145,3450.0,2450.0,4550,2650.0,2600.0,2600,2650.0,2600.0,2700.0,2650.0,269.0,JCT. RTE. 145,,,390,,,0,,,,,269.0,JCT. RTE. 145,,,3700,,,0,,,,,269.0,JCT. RTE. 145,,,3400,,,0,,,,
269.0,JCT. RTE. 198,420.0,520.0,500,580.0,530.0,530,540.0,490.0,460.0,450.0,269.0,JCT. RTE. 198,4650.0,5000.0,5300,5400.0,5300.0,5300,5400.0,5400.0,5600.0,5500.0,269.0,JCT. RTE. 198,4300.0,4300.0,4750,4600.0,4550.0,4550,4600.0,4500.0,4650.0,4550.0,269.0,JCT. RTE. 198,350.0,360.0,200,390.0,390.0,390,390.0,350.0,330.0,320.0,269.0,JCT. RTE. 198,3900.0,3500.0,2300,3800.0,3700.0,3700,3750.0,3700.0,3800.0,3700.0,269.0,JCT. RTE. 198,3600.0,3250.0,2000,3450.0,3300.0,3300,3350.0,3200.0,3300.0,3250.0
269.0,JCT. RTE. 5,500.0,450.0,550,500.0,560.0,560,560.0,470.0,440.0,430.0,269.0,JCT. RTE. 5,5300.0,5000.0,5600,5400.0,5400.0,5400,5500.0,5200.0,5400.0,5300.0,269.0,JCT. RTE. 5,4950.0,4500.0,5350,4800.0,4850.0,4850,4900.0,4400.0,4550.0,4450.0,269.0,JCT. RTE. 5,170.0,180.0,500,200.0,230.0,230,230.0,200.0,180.0,180.0,269.0,JCT. RTE. 5,1900.0,2150.0,5300,2350.0,2350.0,2350,2400.0,2400.0,2450.0,2400.0,269.0,JCT. RTE. 5,1750.0,1900.0,4750,2000.0,2100.0,2100,2100.0,2000.0,2050.0,2000.0
269.0,KINGS/FRESNO COUNTY LINE,,,40,,,0,,,,,269.0,KINGS/FRESNO COUNTY LINE,,,170,,,0,,,,,269.0,KINGS/FRESNO COUNTY LINE,,,140,,,0,,,,,269.0,KINGS/FRESNO COUNTY LINE,570.0,510.0, ,560.0,610.0,610,620.0,500.0,470.0,460.0,269.0,KINGS/FRESNO COUNTY LINE,6300.0,5500.0, ,5800.0,5700.0,5700,5800.0,5300.0,5500.0,5400.0,269.0,KINGS/FRESNO COUNTY LINE,5800.0,5100.0, ,5400.0,5400.0,5400,5500.0,4800.0,4950.0,4850.0
269.0,PLYMOUTH AVE/AVENAL CUTOFF ROAD EAST,570.0,510.0, ,550.0,600.0,600,610.0,510.0,480.0,470.0,269.0,PLYMOUTH AVE/AVENAL CUTOFF ROAD EAST,6300.0,5500.0, ,5700.0,5700.0,5700,5800.0,5300.0,5500.0,5400.0,269.0,PLYMOUTH AVE/AVENAL CUTOFF ROAD EAST,5800.0,5100.0, ,5300.0,5300.0,5300,5400.0,4850.0,5000.0,4900.0,269.0,PLYMOUTH AVE/AVENAL CUTOFF ROAD EAST,410.0,450.0,550,500.0,560.0,560,560.0,470.0,440.0,430.0,269.0,PLYMOUTH AVE/AVENAL CUTOFF ROAD EAST,5700.0,5000.0,5600,5400.0,5400.0,5400,5500.0,5200.0,5400.0,5300.0,269.0,PLYMOUTH AVE/AVENAL CUTOFF ROAD EAST,5200.0,4500.0,5350,4800.0,4850.0,4850,4800.0,4400.0,4550.0,4450.0
