Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
41.0,CENTRAL AVENUE,2500.0,2500.0,1850,2550.0,2600.0,2600,2700.0,,2650.0,2650.0,41.0,CENTRAL AVENUE,28000.0,28000.0,21900,30500.0,30500.0,30500,31000.0,,31500.0,31500.0,41.0,CENTRAL AVENUE,27000.0,27000.0,20000,28000.0,28500.0,28500,29000.0,,29000.0,29000.0,41.0,CENTRAL AVENUE,2650.0,2650.0,1950,2750.0,2850.0,2950,2950.0,,2900.0,2850.0,41.0,CENTRAL AVENUE,31000.0,31000.0,22700,32000.0,33000.0,33000,34000.0,,34000.0,35000.0,41.0,CENTRAL AVENUE,29000.0,29000.0,21000,30000.0,31500.0,31500,32000.0,,32000.0,31500.0
41.0,CONEJO AVENUE,1200.0,1400.0,1400,1550.0,1500.0,1600,1600.0,,1600.0,1650.0,41.0,CONEJO AVENUE,15400.0,16100.0,16300,18100.0,18200.0,18200,18900.0,,19400.0,21200.0,41.0,CONEJO AVENUE,14500.0,14800.0,15300,16800.0,17100.0,17100,17300.0,,17900.0,18000.0,41.0,CONEJO AVENUE,1200.0,1400.0,1450,1550.0,1500.0,1600,1600.0,,1550.0,1550.0,41.0,CONEJO AVENUE,15400.0,16100.0,16900,18100.0,18200.0,18200,18900.0,,19400.0,21200.0,41.0,CONEJO AVENUE,14500.0,14800.0,15700,16800.0,17100.0,17100,17300.0,,17200.0,17300.0
41.0,ELKHORN AVENUE,1200.0,1350.0,1400,1500.0,1450.0,1550,1550.0,,1500.0,1600.0,41.0,ELKHORN AVENUE,14900.0,15400.0,16000,17400.0,17700.0,17700,18400.0,,18600.0,18800.0,41.0,ELKHORN AVENUE,13200.0,14500.0,15000,16300.0,16600.0,16600,16800.0,,16600.0,17400.0,41.0,ELKHORN AVENUE,1200.0,1400.0,1450,1550.0,1500.0,1600,1600.0,,1600.0,1650.0,41.0,ELKHORN AVENUE,15400.0,16100.0,16300,18100.0,18200.0,18200,18900.0,,19400.0,21200.0,41.0,ELKHORN AVENUE,14500.0,14800.0,15300,16800.0,17100.0,17100,17300.0,,17900.0,18000.0
41.0,EXCELSIOR AVE; KINGS/FRESNO COUNTY LINE,,,290,,,0,,,,,41.0,EXCELSIOR AVE; KINGS/FRESNO COUNTY LINE,,,4000,,,0,,,,,41.0,EXCELSIOR AVE; KINGS/FRESNO COUNTY LINE,,,2600,,,0,,,,,41.0,EXCELSIOR AVE; KINGS/FRESNO COUNTY LINE,1200.0,1350.0,230,1450.0,1400.0,1450,1500.0,1450.0,1600.0,1600.0,41.0,EXCELSIOR AVE; KINGS/FRESNO COUNTY LINE,14000.0,15000.0,3000,17100.0,17400.0,17400,17200.0,16500.0,19000.0,18100.0,41.0,EXCELSIOR AVE; KINGS/FRESNO COUNTY LINE,13300.0,14100.0,2000,16000.0,16000.0,16000,16200.0,15600.0,16000.0,16000.0
41.0,"FRESNO, ASHLAN AVENUE",11600.0,12000.0,12600,12100.0,12500.0,14400,14700.0,,15800.0,15600.0,41.0,"FRESNO, ASHLAN AVENUE",140000.0,142000.0,152000,143000.0,149000.0,153000,156000.0,,166000.0,155000.0,41.0,"FRESNO, ASHLAN AVENUE",136000.0,136000.0,142000,140000.0,144000.0,148000,151000.0,,147000.0,145000.0,41.0,"FRESNO, ASHLAN AVENUE",11200.0,11500.0,12100,11500.0,11800.0,13600,13600.0,,14800.0,14600.0,41.0,"FRESNO, ASHLAN AVENUE",136000.0,140000.0,142000,142000.0,147000.0,151000,151000.0,,157000.0,149000.0,41.0,"FRESNO, ASHLAN AVENUE",132000.0,135000.0,139000,138000.0,142000.0,146000,146000.0,,142000.0,140000.0
41.0,"FRESNO, BULLARD AVENUE",10200.0,10500.0,11400,10500.0,10600.0,12300,12300.0,,13400.0,13100.0,41.0,"FRESNO, BULLARD AVENUE",128000.0,131000.0,141000,133000.0,135000.0,136000,136000.0,,139000.0,134000.0,41.0,"FRESNO, BULLARD AVENUE",120000.0,123000.0,137000,126000.0,128000.0,132000,132000.0,,129000.0,127000.0,41.0,"FRESNO, BULLARD AVENUE",8800.0,8900.0,10400,9100.0,9200.0,10700,10700.0,,11100.0,10900.0,41.0,"FRESNO, BULLARD AVENUE",111000.0,112000.0,132000,115000.0,116000.0,119000,119000.0,,120000.0,118000.0,41.0,"FRESNO, BULLARD AVENUE",104000.0,105000.0,125000,108000.0,109000.0,114000,114000.0,,111000.0,109000.0
41.0,"FRESNO, DIVISADERO STREET",9300.0,9300.0,7700,9400.0,9500.0,10300,10800.0,,10200.0,10400.0,41.0,"FRESNO, DIVISADERO STREET",105000.0,105000.0,93000,112000.0,117000.0,119000,121000.0,,128000.0,115000.0,41.0,"FRESNO, DIVISADERO STREET",92500.0,93000.0,82000,99000.0,103000.0,112000,115000.0,,108000.0,109000.0,41.0,"FRESNO, DIVISADERO STREET",11700.0,11100.0,8800,11900.0,11800.0,12600,12800.0,,13700.0,12700.0,41.0,"FRESNO, DIVISADERO STREET",138000.0,135000.0,106000,143000.0,146000.0,146000,146000.0,,149000.0,140000.0,41.0,"FRESNO, DIVISADERO STREET",122000.0,117000.0,93000,125000.0,128000.0,136000,138000.0,,132000.0,132000.0
41.0,"FRESNO, EAST JENSEN AVENUE",3000.0,3000.0,2750,3350.0,3450.0,3550,3700.0,,3650.0,3950.0,41.0,"FRESNO, EAST JENSEN AVENUE",33500.0,33500.0,31500,38000.0,39500.0,40000,41500.0,,42500.0,42500.0,41.0,"FRESNO, EAST JENSEN AVENUE",32500.0,32500.0,29500,36000.0,38000.0,38000,39500.0,,40000.0,41000.0,41.0,"FRESNO, EAST JENSEN AVENUE",4250.0,4050.0,3200,4450.0,4500.0,4500,4650.0,,4600.0,5000.0,41.0,"FRESNO, EAST JENSEN AVENUE",44500.0,45000.0,36500,52000.0,51000.0,51000,52000.0,,53000.0,52000.0,41.0,"FRESNO, EAST JENSEN AVENUE",42500.0,40500.0,34500,47000.0,49000.0,49000,50000.0,,49500.0,50000.0
41.0,"FRESNO, FRIANT ROAD",6600.0,6900.0,8900,7100.0,7100.0,7200,7300.0,7300.0,7000.0,7800.0,41.0,"FRESNO, FRIANT ROAD",87000.0,77000.0,113000,80000.0,85000.0,86000,87000.0,85000.0,86000.0,88000.0,41.0,"FRESNO, FRIANT ROAD",76000.0,75000.0,106000,78000.0,80000.0,83000,83000.0,72000.0,79000.0,79000.0,41.0,"FRESNO, FRIANT ROAD",3900.0,4350.0,6900,4600.0,4800.0,4900,5100.0,5200.0,5100.0,5400.0,41.0,"FRESNO, FRIANT ROAD",45000.0,45500.0,77000,49500.0,53000.0,54000,55000.0,54000.0,58000.0,59000.0,41.0,"FRESNO, FRIANT ROAD",43000.0,44500.0,75000,47500.0,50000.0,51000,53000.0,47500.0,53000.0,56000.0
41.0,"FRESNO, HERNDON AVENUE",8800.0,8900.0,10400,9100.0,9200.0,10700,10700.0,,11100.0,10900.0,41.0,"FRESNO, HERNDON AVENUE",111000.0,112000.0,132000,115000.0,116000.0,119000,119000.0,,120000.0,118000.0,41.0,"FRESNO, HERNDON AVENUE",104000.0,105000.0,125000,108000.0,109000.0,114000,114000.0,,111000.0,109000.0,41.0,"FRESNO, HERNDON AVENUE",6600.0,6900.0,8900,7100.0,7100.0,7200,7300.0,,7000.0,7700.0,41.0,"FRESNO, HERNDON AVENUE",87000.0,77000.0,113000,80000.0,85000.0,86000,87000.0,,86000.0,88000.0,41.0,"FRESNO, HERNDON AVENUE",76000.0,75000.0,106000,78000.0,80000.0,83000,83000.0,,79000.0,78000.0
