Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
180.0,CORNELIA AVENUE,1250.0,1250.0,1350,1450.0,1500.0,1500,1550.0,,1500.0,1550.0,180.0,CORNELIA AVENUE,14300.0,14300.0,14700,15600.0,17800.0,17800,17900.0,,18600.0,17900.0,180.0,CORNELIA AVENUE,13000.0,13000.0,13800,14700.0,16000.0,16000,16800.0,,16800.0,17200.0,180.0,CORNELIA AVENUE,1250.0,1250.0,1350,1400.0,1450.0,1450,1500.0,,1450.0,1500.0,180.0,CORNELIA AVENUE,14500.0,14500.0,14800,15000.0,17300.0,17300,18000.0,,18000.0,17500.0,180.0,CORNELIA AVENUE,13200.0,13200.0,13900,14200.0,15500.0,15500,16400.0,,16200.0,16700.0
180.0,DICKENSON AVENUE,900.0,900.0,1500,990.0,1000.0,1000,1050.0,,1050.0,970.0,180.0,DICKENSON AVENUE,10300.0,10300.0,18000,11800.0,11800.0,11800,13200.0,,13200.0,12000.0,180.0,DICKENSON AVENUE,9900.0,9900.0,15700,11200.0,11300.0,11300,11800.0,,11900.0,11700.0,180.0,DICKENSON AVENUE,1200.0,1200.0,1050,1350.0,1350.0,1350,1400.0,,1350.0,1250.0,180.0,DICKENSON AVENUE,14200.0,14200.0,12500,15000.0,14700.0,14700,16200.0,,16400.0,15100.0,180.0,DICKENSON AVENUE,12900.0,12900.0,11500,14100.0,14100.0,14100,14700.0,,14800.0,14800.0
180.0,FRESNO/TULARE COUNTY LINE,250.0,250.0,250,410.0,410.0,410,410.0,390.0,390.0,390.0,180.0,FRESNO/TULARE COUNTY LINE,2000.0,2000.0,2000,1800.0,1800.0,1800,1800.0,1750.0,1750.0,1900.0,180.0,FRESNO/TULARE COUNTY LINE,1100.0,1100.0,1300,1150.0,1150.0,1150,1150.0,1100.0,1100.0,1100.0,180.0,FRESNO/TULARE COUNTY LINE,,,270,,,0,,,,,180.0,FRESNO/TULARE COUNTY LINE,,,2000,,,0,,,,,180.0,FRESNO/TULARE COUNTY LINE,,,1200,,,0,,,,
180.0,GOLDENROD AVENUE,1350.0,1350.0,1450,1350.0,1300.0,1300,1350.0,,1350.0,1450.0,180.0,GOLDENROD AVENUE,16200.0,16200.0,16800,16700.0,15500.0,15500,17100.0,,17100.0,16800.0,180.0,GOLDENROD AVENUE,14100.0,14100.0,15300,15200.0,14700.0,14700,15300.0,,15500.0,16000.0,180.0,GOLDENROD AVENUE,1000.0,1000.0,1500,1050.0,1100.0,1100,1100.0,,1100.0,1200.0,180.0,GOLDENROD AVENUE,11200.0,11200.0,18000,13100.0,12700.0,12700,14000.0,,14000.0,13700.0,180.0,GOLDENROD AVENUE,10700.0,10700.0,15700,12100.0,12100.0,12100,12600.0,,12700.0,13100.0
180.0,GRANTLAND AVENUE,1250.0,1250.0,990,1450.0,1450.0,1450,1500.0,,1400.0,1300.0,180.0,GRANTLAND AVENUE,14300.0,14300.0,11800,15400.0,15400.0,15400,17000.0,,17000.0,15600.0,180.0,GRANTLAND AVENUE,13000.0,13000.0,10900,14500.0,14500.0,14500,15100.0,,15300.0,15300.0,180.0,GRANTLAND AVENUE,1250.0,1250.0,1300,1450.0,1400.0,1400,1400.0,,1400.0,1300.0,180.0,GRANTLAND AVENUE,14300.0,14300.0,14700,15600.0,15600.0,15600,17200.0,,17200.0,16000.0,180.0,GRANTLAND AVENUE,13000.0,13000.0,13800,14600.0,14600.0,14600,15200.0,,15400.0,15400.0
180.0,HUME LAKE ROAD,330.0,330.0, ,390.0,390.0,390,390.0,370.0,370.0,370.0,180.0,HUME LAKE ROAD,2400.0,2400.0, ,1700.0,1700.0,1700,1700.0,1650.0,1650.0,1800.0,180.0,HUME LAKE ROAD,1500.0,1500.0, ,1100.0,1100.0,1100,1100.0,1050.0,1050.0,1050.0,180.0,HUME LAKE ROAD,190.0,190.0,250,250.0,250.0,250,260.0,250.0,250.0,250.0,180.0,HUME LAKE ROAD,1400.0,1400.0,1700,1100.0,1100.0,1100,1100.0,1050.0,1050.0,1250.0,180.0,HUME LAKE ROAD,880.0,880.0,1100,700.0,710.0,710,720.0,700.0,710.0,710.0
180.0,"KERMAN, JCT. RTE. 145",1350.0,1350.0,840,1400.0,1400.0,1400,1400.0,1400.0,1400.0,1450.0,180.0,"KERMAN, JCT. RTE. 145",16000.0,16000.0,10000,16300.0,16300.0,16300,17000.0,17000.0,17500.0,17200.0,180.0,"KERMAN, JCT. RTE. 145",14600.0,14600.0,8900,15500.0,15500.0,15500,15600.0,15600.0,15800.0,16300.0,180.0,"KERMAN, JCT. RTE. 145",1350.0,1350.0,1000,1350.0,1300.0,1300,1350.0,1350.0,1350.0,1450.0,180.0,"KERMAN, JCT. RTE. 145",16200.0,16200.0,12200,16700.0,15500.0,15500,17100.0,17100.0,17100.0,16800.0,180.0,"KERMAN, JCT. RTE. 145",14100.0,14100.0,10900,15200.0,14700.0,14700,15300.0,15300.0,15500.0,16000.0
180.0,KINGS CANYON NATIONAL PARK,180.0,180.0,250,250.0,250.0,250,260.0,250.0,250.0,250.0,180.0,KINGS CANYON NATIONAL PARK,1300.0,1300.0,1700,1100.0,1100.0,1100,1100.0,1050.0,1050.0,1250.0,180.0,KINGS CANYON NATIONAL PARK,800.0,800.0,1100,700.0,710.0,710,720.0,700.0,700.0,700.0,180.0,KINGS CANYON NATIONAL PARK,,,160,,,0,,,,,180.0,KINGS CANYON NATIONAL PARK,,,1100,,,0,,,,,180.0,KINGS CANYON NATIONAL PARK,,,700,,,0,,,,
180.0,"MENDOTA, BELMONT AVENUE",640.0,640.0,1050,700.0,670.0,670,680.0,,630.0,700.0,180.0,"MENDOTA, BELMONT AVENUE",7900.0,7900.0,12700,8000.0,7600.0,7600,7600.0,,7700.0,7300.0,180.0,"MENDOTA, BELMONT AVENUE",6800.0,6800.0,11200,7000.0,6700.0,6700,6800.0,,7000.0,7000.0,180.0,"MENDOTA, BELMONT AVENUE",680.0,680.0,1100,720.0,730.0,730,730.0,,710.0,760.0,180.0,"MENDOTA, BELMONT AVENUE",7500.0,7500.0,13400,8300.0,8300.0,8300,8300.0,,8400.0,8000.0,180.0,"MENDOTA, BELMONT AVENUE",6500.0,6500.0,11800,7300.0,7300.0,7300,7400.0,,7600.0,7600.0
180.0,"MENDOTA, EIGHTH STREET",1150.0,1150.0,1050,1100.0,1050.0,1050,1050.0,,1000.0,1100.0,180.0,"MENDOTA, EIGHTH STREET",12000.0,12000.0,12400,12400.0,11800.0,11800,11800.0,,12200.0,11600.0,180.0,"MENDOTA, EIGHTH STREET",10500.0,10500.0,11000,11000.0,10500.0,10500,10700.0,,11000.0,11000.0,180.0,"MENDOTA, EIGHTH STREET",1200.0,1200.0,1050,1100.0,1050.0,1050,1100.0,,1000.0,1100.0,180.0,"MENDOTA, EIGHTH STREET",12800.0,12800.0,12700,12900.0,12200.0,12200,12200.0,,12400.0,11800.0,180.0,"MENDOTA, EIGHTH STREET",11000.0,11000.0,11200,11300.0,10700.0,10700,10900.0,,11200.0,11200.0
