Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
33.0,ADAMS AVENUE,380.0,370.0,210,300.0,290.0,290,330.0,,320.0,220.0,33.0,ADAMS AVENUE,2450.0,2450.0,2400,2350.0,2300.0,2300,2200.0,,2150.0,2300.0,33.0,ADAMS AVENUE,1750.0,1750.0,2000,1900.0,1850.0,1850,1750.0,,1650.0,1800.0,33.0,ADAMS AVENUE,250.0,240.0,230,270.0,270.0,260,260.0,,260.0,170.0,33.0,ADAMS AVENUE,2400.0,2400.0,2500,2400.0,2400.0,2400,2400.0,,2350.0,2050.0,33.0,ADAMS AVENUE,1850.0,1750.0,2000,1750.0,1750.0,1750,1750.0,,1650.0,1450.0
33.0,ALPINE/LOST HILLS ROADS,250.0,200.0, ,300.0,,290,290.0,300.0,320.0,220.0,33.0,ALPINE/LOST HILLS ROADS,3050.0,3100.0, ,3100.0,,3100,3100.0,3050.0,2450.0,2450.0,33.0,ALPINE/LOST HILLS ROADS,2500.0,2000.0, ,2000.0,,2000,2000.0,2100.0,2100.0,2100.0,33.0,ALPINE/LOST HILLS ROADS,220.0,180.0,300,260.0,,250,250.0,270.0,290.0,200.0,33.0,ALPINE/LOST HILLS ROADS,2600.0,2700.0,3100,2700.0,,2700,2700.0,2650.0,2100.0,2100.0,33.0,ALPINE/LOST HILLS ROADS,2150.0,1750.0,2000,1750.0,,1750,1750.0,1850.0,1850.0,1850.0
33.0,BASS AVENUE,1100.0,1100.0,750,1150.0,1150.0,1150,1350.0,,1400.0,1350.0,33.0,BASS AVENUE,11400.0,11400.0,7000,15000.0,15000.0,15000,15100.0,,14600.0,15800.0,33.0,BASS AVENUE,10800.0,10800.0,6000,12600.0,12600.0,12900,13000.0,,12400.0,13500.0,33.0,BASS AVENUE,640.0,640.0,990,680.0,680.0,690,770.0,,790.0,800.0,33.0,BASS AVENUE,7400.0,7400.0,11600,8000.0,8000.0,8000,8200.0,,8000.0,8900.0,33.0,BASS AVENUE,6350.0,6350.0,11000,7000.0,7000.0,7100,7300.0,,6900.0,7600.0
33.0,BRANNON AVENUE,350.0,340.0,340,270.0,270.0,250,280.0,,800.0,280.0,33.0,BRANNON AVENUE,3550.0,3550.0,3200,3200.0,3100.0,3100,3400.0,,3300.0,3100.0,33.0,BRANNON AVENUE,2650.0,2650.0,3000,2550.0,2550.0,2400,2650.0,,2500.0,2500.0,33.0,BRANNON AVENUE,240.0,240.0,280,370.0,320.0,300,780.0,,720.0,250.0,33.0,BRANNON AVENUE,2600.0,2600.0,3250,3050.0,3000.0,3000,2700.0,,2800.0,2700.0,33.0,BRANNON AVENUE,2000.0,2000.0,3000,2350.0,2250.0,2150,2350.0,,2250.0,2250.0
33.0,CALIFORNIA AVENUE,250.0,250.0,270,290.0,290.0,280,270.0,,270.0,230.0,33.0,CALIFORNIA AVENUE,2400.0,2400.0,2800,2600.0,2600.0,2600,2450.0,,2400.0,2500.0,33.0,CALIFORNIA AVENUE,1850.0,1850.0,2000,2000.0,2000.0,2000,1900.0,,1800.0,1950.0,33.0,CALIFORNIA AVENUE,400.0,400.0,270,350.0,350.0,340,320.0,,320.0,220.0,33.0,CALIFORNIA AVENUE,2500.0,2500.0,2400,3000.0,3000.0,3000,2850.0,,2750.0,2900.0,33.0,CALIFORNIA AVENUE,2250.0,2250.0,1750,2000.0,2000.0,2000,1900.0,,1800.0,1950.0
33.0,"COALINGA, FIFTH STREET",1400.0,1150.0,860,1150.0,1200.0,1100,1150.0,,1250.0,1250.0,33.0,"COALINGA, FIFTH STREET",20100.0,12200.0,8800,12300.0,12800.0,12800,12800.0,,12800.0,12800.0,33.0,"COALINGA, FIFTH STREET",13600.0,10700.0,8200,10800.0,11200.0,11200,11300.0,,11800.0,11800.0,33.0,"COALINGA, FIFTH STREET",500.0,350.0,1050,360.0,370.0,350,350.0,,60.0,410.0,33.0,"COALINGA, FIFTH STREET",7100.0,3450.0,11500,3550.0,3750.0,3750,3750.0,,4100.0,4100.0,33.0,"COALINGA, FIFTH STREET",4800.0,3350.0,10000,3400.0,3600.0,3600,3600.0,,3900.0,3900.0
33.0,"COALINGA, JCT. RTE. 198 WEST",520.0,380.0,1150,400.0,430.0,410,410.0,,430.0,430.0,33.0,"COALINGA, JCT. RTE. 198 WEST",7300.0,5600.0,12200,5700.0,6200.0,6200,6200.0,,4900.0,4900.0,33.0,"COALINGA, JCT. RTE. 198 WEST",4950.0,3700.0,10700,3750.0,4100.0,4100,4100.0,,4050.0,4050.0,33.0,"COALINGA, JCT. RTE. 198 WEST",860.0,840.0,350,850.0,900.0,860,860.0,,860.0,860.0,33.0,"COALINGA, JCT. RTE. 198 WEST",13300.0,12100.0,3450,12200.0,13200.0,13200,13200.0,,10300.0,10300.0,33.0,"COALINGA, JCT. RTE. 198 WEST",9000.0,8150.0,3350,8300.0,9000.0,9000,9100.0,,8600.0,8600.0
33.0,"COALINGA, PHELPS AVENUE",1050.0,900.0,390,910.0,930.0,880,890.0,,820.0,820.0,33.0,"COALINGA, PHELPS AVENUE",16300.0,9100.0,5600,9200.0,9600.0,9600,9600.0,,9400.0,9400.0,33.0,"COALINGA, PHELPS AVENUE",11000.0,8800.0,3700,8900.0,9300.0,9300,9400.0,,8200.0,8200.0,33.0,"COALINGA, PHELPS AVENUE",620.0,530.0,840,540.0,550.0,520,520.0,,540.0,540.0,33.0,"COALINGA, PHELPS AVENUE",7300.0,8000.0,12100,7800.0,7900.0,7900,7900.0,,6200.0,6200.0,33.0,"COALINGA, PHELPS AVENUE",6600.0,5200.0,8200,5300.0,5400.0,5400,5400.0,,5400.0,5400.0
33.0,DERRICK AVENUE,240.0,230.0,370,240.0,250.0,240,260.0,,270.0,280.0,33.0,DERRICK AVENUE,2500.0,2500.0,4050,2950.0,3050.0,3050,3100.0,,3000.0,3000.0,33.0,DERRICK AVENUE,2400.0,2350.0,3800,2350.0,2450.0,2450,2650.0,,2500.0,2500.0,33.0,DERRICK AVENUE,210.0,210.0,220,220.0,230.0,220,240.0,,250.0,250.0,33.0,DERRICK AVENUE,2450.0,2450.0,2250,2400.0,2500.0,2500,2750.0,,2650.0,2650.0,33.0,DERRICK AVENUE,2100.0,2100.0,2150,2100.0,2200.0,2200,2400.0,,2300.0,2250.0
33.0,DOUGLAS AVENUE,310.0,310.0,900,300.0,300.0,300,340.0,,960.0,360.0,33.0,DOUGLAS AVENUE,3200.0,3200.0,10000,3400.0,3400.0,3400,3750.0,,3650.0,3800.0,33.0,DOUGLAS AVENUE,3000.0,3000.0,9000,2850.0,2850.0,2850,3150.0,,3000.0,3200.0,33.0,DOUGLAS AVENUE,270.0,270.0,900,300.0,300.0,300,330.0,,940.0,320.0,33.0,DOUGLAS AVENUE,2700.0,2700.0,9000,3400.0,3400.0,3400,3700.0,,3600.0,3400.0,33.0,DOUGLAS AVENUE,2500.0,2500.0,8000,2850.0,2850.0,2850,3100.0,,2950.0,2850.0
