Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
99.0,"FRESNO, FRESNO STREET",7000.0,7100.0,6100,7500.0,7700.0,7500,8000.0,,7500.0,7600.0,99.0,"FRESNO, FRESNO STREET",83000.0,84000.0,73000,91000.0,93000.0,93000,99000.0,,98000.0,95000.0,99.0,"FRESNO, FRESNO STREET",78000.0,79000.0,68000,86000.0,89000.0,88000,94000.0,,92000.0,93000.0,99.0,"FRESNO, FRESNO STREET",7200.0,7300.0,7600,7400.0,7600.0,7900,8400.0,,8000.0,7900.0,99.0,"FRESNO, FRESNO STREET",85000.0,86000.0,90000,89000.0,91000.0,96000,102000.0,,102000.0,99000.0,99.0,"FRESNO, FRESNO STREET",80000.0,81000.0,85000,84000.0,87000.0,92000,98000.0,,96000.0,95000.0
99.0,"FRESNO, JENSEN AVENUE",8600.0,8500.0,8400,9400.0,9600.0,9600,9800.0,,8800.0,9200.0,99.0,"FRESNO, JENSEN AVENUE",95000.0,98000.0,98000,110000.0,113000.0,114000,115000.0,,119000.0,119000.0,99.0,"FRESNO, JENSEN AVENUE",90000.0,93000.0,93000,104000.0,107000.0,110000,111000.0,,109000.0,113000.0,99.0,"FRESNO, JENSEN AVENUE",10000.0,9400.0,9100,10200.0,10400.0,10500,10700.0,,9600.0,9900.0,99.0,"FRESNO, JENSEN AVENUE",105000.0,108000.0,106000,120000.0,122000.0,124000,128000.0,,130000.0,127000.0,99.0,"FRESNO, JENSEN AVENUE",100000.0,103000.0,100000,114000.0,117000.0,120000,122000.0,,119000.0,122000.0
99.0,"FRESNO, NORTH AVENUE",8000.0,7900.0,8800,8600.0,8800.0,8700,8700.0,,7900.0,7900.0,99.0,"FRESNO, NORTH AVENUE",88000.0,91000.0,102000,101000.0,104000.0,104000,104000.0,,107000.0,107000.0,99.0,"FRESNO, NORTH AVENUE",84000.0,87000.0,98000,96000.0,99000.0,99000,100000.0,,98000.0,98000.0,99.0,"FRESNO, NORTH AVENUE",8600.0,8500.0,8400,9400.0,9600.0,9600,9800.0,,8800.0,9200.0,99.0,"FRESNO, NORTH AVENUE",95000.0,98000.0,98000,110000.0,113000.0,114000,115000.0,,119000.0,119000.0,99.0,"FRESNO, NORTH AVENUE",90000.0,93000.0,93000,104000.0,107000.0,110000,111000.0,,109000.0,113000.0
99.0,"FRESNO, NORTH JCT. RTE. 41",10000.0,9400.0,9100,10200.0,10400.0,10500,10700.0,10400.0,9600.0,9900.0,99.0,"FRESNO, NORTH JCT. RTE. 41",105000.0,108000.0,106000,120000.0,122000.0,124000,128000.0,123000.0,130000.0,127000.0,99.0,"FRESNO, NORTH JCT. RTE. 41",100000.0,103000.0,100000,114000.0,117000.0,120000,122000.0,111000.0,119000.0,122000.0,99.0,"FRESNO, NORTH JCT. RTE. 41",6200.0,5700.0,9900,6100.0,6300.0,6300,6800.0,6900.0,6300.0,6100.0,99.0,"FRESNO, NORTH JCT. RTE. 41",66000.0,67000.0,114000,74000.0,75000.0,77000,82000.0,80000.0,84000.0,79000.0,99.0,"FRESNO, NORTH JCT. RTE. 41",62000.0,63000.0,108000,69000.0,72000.0,74000,79000.0,74000.0,78000.0,75000.0
99.0,"FRESNO, OLIVE AVENUE",11200.0,11300.0,12500,12200.0,12300.0,12400,13000.0,,10800.0,11100.0,99.0,"FRESNO, OLIVE AVENUE",134000.0,135000.0,142000,142000.0,143000.0,143000,152000.0,,147000.0,147000.0,99.0,"FRESNO, OLIVE AVENUE",124000.0,125000.0,132000,131000.0,133000.0,136000,143000.0,,140000.0,144000.0,99.0,"FRESNO, OLIVE AVENUE",10700.0,10900.0,12000,11500.0,11600.0,11900,12300.0,,10700.0,10600.0,99.0,"FRESNO, OLIVE AVENUE",127000.0,130000.0,137000,137000.0,138000.0,138000,146000.0,,142000.0,142000.0,99.0,"FRESNO, OLIVE AVENUE",119000.0,121000.0,126000,127000.0,129000.0,134000,139000.0,,138000.0,137000.0
99.0,"FRESNO, STANISLAUS STREET",7200.0,7300.0,7600,7400.0,7600.0,7900,8400.0,,8000.0,7900.0,99.0,"FRESNO, STANISLAUS STREET",85000.0,86000.0,90000,89000.0,91000.0,96000,102000.0,,102000.0,99000.0,99.0,"FRESNO, STANISLAUS STREET",80000.0,81000.0,85000,84000.0,87000.0,92000,98000.0,,96000.0,95000.0,99.0,"FRESNO, STANISLAUS STREET",8300.0,8400.0,7800,8700.0,8900.0,9300,9800.0,,9100.0,9000.0,99.0,"FRESNO, STANISLAUS STREET",99000.0,100000.0,92000,104000.0,104000.0,109000,116000.0,,116000.0,111000.0,99.0,"FRESNO, STANISLAUS STREET",92000.0,93000.0,87000,96000.0,99000.0,105000,111000.0,,109000.0,107000.0
99.0,"FRESNO, VENTURA STREET",6200.0,5700.0,9900,6100.0,6300.0,6300,6800.0,,6300.0,6100.0,99.0,"FRESNO, VENTURA STREET",66000.0,67000.0,114000,74000.0,75000.0,77000,82000.0,,84000.0,79000.0,99.0,"FRESNO, VENTURA STREET",62000.0,63000.0,108000,69000.0,72000.0,74000,79000.0,,78000.0,75000.0,99.0,"FRESNO, VENTURA STREET",7000.0,7100.0,6100,7500.0,7700.0,7500,8000.0,,7500.0,7600.0,99.0,"FRESNO, VENTURA STREET",83000.0,84000.0,73000,91000.0,93000.0,93000,99000.0,,98000.0,95000.0,99.0,"FRESNO, VENTURA STREET",78000.0,79000.0,68000,86000.0,89000.0,88000,94000.0,,92000.0,93000.0
99.0,FRESNO/MADERA COUNTY LINE,5800.0,5800.0,5900,6200.0,6600.0,6600,6800.0,6600.0,6600.0,6700.0,99.0,FRESNO/MADERA COUNTY LINE,69000.0,71000.0,74000,82000.0,85000.0,85000,89000.0,85000.0,89000.0,89000.0,99.0,FRESNO/MADERA COUNTY LINE,64000.0,66000.0,69000,75000.0,81000.0,82000,84000.0,79000.0,82000.0,84000.0,99.0,FRESNO/MADERA COUNTY LINE,,,5900,,,0,,,,,99.0,FRESNO/MADERA COUNTY LINE,,,73000,,,0,,,,,99.0,FRESNO/MADERA COUNTY LINE,,,69000,,,0,,,,
99.0,HERNDON AVENUE,5600.0,5600.0,6100,6100.0,6300.0,6300,6500.0,,6200.0,6600.0,99.0,HERNDON AVENUE,66000.0,69000.0,77000,78000.0,81000.0,82000,84000.0,,85000.0,85000.0,99.0,HERNDON AVENUE,62000.0,64000.0,72000,74000.0,77000.0,79000,81000.0,,78000.0,83000.0,99.0,HERNDON AVENUE,5800.0,5800.0,5900,6200.0,6600.0,6600,6700.0,,6500.0,6700.0,99.0,HERNDON AVENUE,69000.0,71000.0,73000,82000.0,85000.0,85000,89000.0,,89000.0,89000.0,99.0,HERNDON AVENUE,64000.0,66000.0,69000,75000.0,81000.0,82000,84000.0,,82000.0,84000.0
99.0,JCT. RTE. 180S,8300.0,8400.0,7800,,8900.0,9300,,,,,99.0,JCT. RTE. 180S,99000.0,100000.0,92000,,104000.0,109000,,,,,99.0,JCT. RTE. 180S,92000.0,93000.0,87000,,99000.0,105000,,,,,99.0,JCT. RTE. 180S,11800.0,11900.0,9200,,12800.0,12900,,,,,99.0,JCT. RTE. 180S,140000.0,141000.0,107000,,148000.0,148000,,,,,99.0,JCT. RTE. 180S,130000.0,131000.0,99000,,139000.0,143000,,,,
99.0,JCT. RTE. 43 SOUTH,6200.0,6200.0,6300,6800.0,6900.0,7000,7100.0,7000.0,6400.0,7300.0,99.0,JCT. RTE. 43 SOUTH,72000.0,73000.0,75000,83000.0,85000.0,85000,88000.0,84000.0,81000.0,87000.0,99.0,JCT. RTE. 43 SOUTH,67000.0,68000.0,71000,76000.0,78000.0,80000,81000.0,74000.0,74000.0,85000.0,99.0,JCT. RTE. 43 SOUTH,7000.0,7300.0,6500,7900.0,8000.0,8000,8200.0,8100.0,7900.0,8300.0,99.0,JCT. RTE. 43 SOUTH,82000.0,83000.0,78000,93000.0,95000.0,96000,100000.0,98000.0,101000.0,102000.0,99.0,JCT. RTE. 43 SOUTH,78000.0,80000.0,72000,89000.0,91000.0,93000,95000.0,85000.0,92000.0,96000.0
99.0,"KINGSBURG, JCT. RTE. 201 EAST",4800.0,4850.0, ,5600.0,5500.0,5700,5800.0,6000.0,5600.0,5700.0,99.0,"KINGSBURG, JCT. RTE. 201 EAST",56000.0,55000.0, ,66000.0,66000.0,68000,71000.0,68000.0,71000.0,70000.0,99.0,"KINGSBURG, JCT. RTE. 201 EAST",53000.0,53000.0, ,63000.0,63000.0,66000,67000.0,63000.0,65000.0,67000.0,99.0,"KINGSBURG, JCT. RTE. 201 EAST",5300.0,5200.0,5200,5800.0,5800.0,5800,5900.0,6000.0,5600.0,6200.0,99.0,"KINGSBURG, JCT. RTE. 201 EAST",60000.0,60000.0,61000,69000.0,70000.0,70000,74000.0,71000.0,72000.0,76000.0,99.0,"KINGSBURG, JCT. RTE. 201 EAST",57000.0,57000.0,58000,66000.0,67000.0,68000,69000.0,63000.0,66000.0,73000.0
99.0,MANNING AVENUE,7000.0,7300.0,6500,7900.0,8000.0,8000,8200.0,,7900.0,8300.0,99.0,MANNING AVENUE,82000.0,83000.0,78000,93000.0,95000.0,96000,100000.0,,101000.0,102000.0,99.0,MANNING AVENUE,78000.0,80000.0,72000,89000.0,91000.0,93000,95000.0,,92000.0,96000.0,99.0,MANNING AVENUE,7700.0,8100.0,7500,8500.0,87000.0,9000,9100.0,,8800.0,9000.0,99.0,MANNING AVENUE,91000.0,93000.0,88000,103000.0,107000.0,107000,111000.0,,112000.0,112000.0,99.0,MANNING AVENUE,86000.0,88000.0,84000,97000.0,101000.0,104000,105000.0,,102000.0,104000.0
99.0,MC KINLEY AVENUE,10700.0,10900.0,12000,11500.0,11600.0,11900,12300.0,,10700.0,10600.0,99.0,MC KINLEY AVENUE,127000.0,130000.0,137000,137000.0,138000.0,138000,146000.0,,142000.0,142000.0,99.0,MC KINLEY AVENUE,119000.0,121000.0,126000,127000.0,129000.0,134000,139000.0,,138000.0,137000.0,99.0,MC KINLEY AVENUE,10000.0,10100.0,11200,10700.0,10800.0,11200,11800.0,,10100.0,10000.0,99.0,MC KINLEY AVENUE,119000.0,120000.0,130000,126000.0,128000.0,131000,139000.0,,135000.0,135000.0,99.0,MC KINLEY AVENUE,111000.0,112000.0,121000,118000.0,120000.0,126000,132000.0,,129000.0,128000.0
99.0,MOUNTAIN VIEW AVENUE,5300.0,5500.0,5500,6100.0,6000.0,6000,6100.0,,5900.0,6400.0,99.0,MOUNTAIN VIEW AVENUE,63000.0,64000.0,65000,73000.0,73000.0,73000,77000.0,,75000.0,77000.0,99.0,MOUNTAIN VIEW AVENUE,59000.0,60000.0,62000,69000.0,69000.0,70000,72000.0,,69000.0,75000.0,99.0,MOUNTAIN VIEW AVENUE,6100.0,6000.0,5700,6600.0,6600.0,6700,6800.0,,6500.0,7300.0,99.0,MOUNTAIN VIEW AVENUE,70000.0,71000.0,68000,80000.0,81000.0,81000,85000.0,,83000.0,87000.0,99.0,MOUNTAIN VIEW AVENUE,65000.0,66000.0,64000,75000.0,76000.0,78000,79000.0,,76000.0,85000.0
99.0,"SELMA, SECOND STREET",6100.0,6000.0,5700,6600.0,6600.0,6700,6800.0,,6200.0,7300.0,99.0,"SELMA, SECOND STREET",70000.0,71000.0,68000,80000.0,81000.0,81000,85000.0,,79000.0,87000.0,99.0,"SELMA, SECOND STREET",65000.0,66000.0,64000,75000.0,76000.0,78000,79000.0,,72000.0,85000.0,99.0,"SELMA, SECOND STREET",6200.0,6200.0,6300,6800.0,6900.0,7000,7100.0,,6400.0,7300.0,99.0,"SELMA, SECOND STREET",72000.0,73000.0,75000,83000.0,85000.0,85000,88000.0,,81000.0,87000.0,99.0,"SELMA, SECOND STREET",67000.0,68000.0,71000,76000.0,78000.0,80000,81000.0,,74000.0,85000.0
99.0,SHAW AVENUE,5900.0,5800.0,6600,6300.0,6400.0,6500,6700.0,,6500.0,6600.0,99.0,SHAW AVENUE,69000.0,72000.0,82000,81000.0,83000.0,86000,90000.0,,90000.0,89000.0,99.0,SHAW AVENUE,66000.0,67000.0,78000,77000.0,79000.0,82000,85000.0,,82000.0,84000.0,99.0,SHAW AVENUE,5600.0,5600.0,6100,6100.0,6300.0,6300,6500.0,,6200.0,6600.0,99.0,SHAW AVENUE,66000.0,69000.0,77000,78000.0,81000.0,82000,84000.0,,85000.0,85000.0,99.0,SHAW AVENUE,62000.0,64000.0,72000,74000.0,77000.0,79000,81000.0,,78000.0,83000.0
99.0,TULARE/FRESNO COUNTY LINE,,,120,,,0,,,,,99.0,TULARE/FRESNO COUNTY LINE,,,1000,,,0,,,,,99.0,TULARE/FRESNO COUNTY LINE,,,750,,,0,,,,,99.0,TULARE/FRESNO COUNTY LINE,4800.0,4850.0, ,5600.0,5500.0,5700,5800.0,6000.0,5600.0,5700.0,99.0,TULARE/FRESNO COUNTY LINE,56000.0,55000.0, ,66000.0,66000.0,68000,71000.0,68000.0,71000.0,70000.0,99.0,TULARE/FRESNO COUNTY LINE,53000.0,53000.0, ,63000.0,63000.0,66000,67000.0,63000.0,65000.0,67000.0
