Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
201.0,FRESNO/TULARE COUNTY LINE,520.0,620.0,650,650.0,690.0,690,690.0,620.0,630.0,630.0,201.0,FRESNO/TULARE COUNTY LINE,6900.0,6300.0,6500,6500.0,6600.0,6600,6600.0,5900.0,6000.0,6000.0,201.0,FRESNO/TULARE COUNTY LINE,5700.0,5800.0,6000,6000.0,6100.0,6100,6100.0,5500.0,5600.0,5600.0,201.0,FRESNO/TULARE COUNTY LINE,,,650,,,0,,,,,201.0,FRESNO/TULARE COUNTY LINE,,,6500,,,0,,,,,201.0,FRESNO/TULARE COUNTY LINE,,,6000,,,0,,,,
201.0,"KINGSBURG, 18TH AVENUE",1300.0,1200.0,860,1250.0,1150.0,1150,1200.0,,1100.0,1050.0,201.0,"KINGSBURG, 18TH AVENUE",14800.0,12100.0,8900,12600.0,12000.0,12000,12000.0,,10900.0,10400.0,201.0,"KINGSBURG, 18TH AVENUE",14300.0,11500.0,8300,11900.0,11300.0,11300,11400.0,,10400.0,9900.0,201.0,"KINGSBURG, 18TH AVENUE",1000.0,950.0,1200,990.0,960.0,960,970.0,,890.0,850.0,201.0,"KINGSBURG, 18TH AVENUE",13400.0,10300.0,12500,10700.0,10300.0,10300,10300.0,,9400.0,8900.0,201.0,"KINGSBURG, 18TH AVENUE",11100.0,9300.0,11800,9600.0,9200.0,9200,9300.0,,8500.0,8100.0
201.0,"KINGSBURG, DRAPER STREET",740.0,850.0,1350,850.0,890.0,890,900.0,,830.0,790.0,201.0,"KINGSBURG, DRAPER STREET",8500.0,8700.0,13900,8900.0,9200.0,9200,9200.0,,8400.0,8000.0,201.0,"KINGSBURG, DRAPER STREET",8200.0,8300.0,12900,8300.0,8600.0,8600,8700.0,,7900.0,7500.0,201.0,"KINGSBURG, DRAPER STREET",1300.0,1200.0,860,1250.0,1150.0,1150,1200.0,,1100.0,1050.0,201.0,"KINGSBURG, DRAPER STREET",14800.0,12100.0,9500,12600.0,12000.0,12000,12000.0,,10900.0,10400.0,201.0,"KINGSBURG, DRAPER STREET",14300.0,11500.0,8300,11900.0,11300.0,11300,11400.0,,10400.0,9900.0
201.0,"KINGSBURG, EAST CITY LIMITS",1000.0,620.0,1200,650.0,690.0,690,710.0,630.0,640.0,650.0,201.0,"KINGSBURG, EAST CITY LIMITS",13400.0,6300.0,12500,6500.0,6600.0,6600,6600.0,5900.0,6000.0,6100.0,201.0,"KINGSBURG, EAST CITY LIMITS",11100.0,5800.0,11800,6000.0,6100.0,6100,6200.0,5600.0,5700.0,5800.0,201.0,"KINGSBURG, EAST CITY LIMITS",520.0,620.0,990,650.0,690.0,690,710.0,630.0,640.0,650.0,201.0,"KINGSBURG, EAST CITY LIMITS",6900.0,6300.0,10600,6500.0,6600.0,6600,6600.0,5900.0,6000.0,6100.0,201.0,"KINGSBURG, EAST CITY LIMITS",5700.0,5800.0,9600,6000.0,6100.0,6100,6200.0,5600.0,5700.0,5800.0
201.0,"KINGSBURG, JCT. RTE. 99",,,490,,,0,,,,,201.0,"KINGSBURG, JCT. RTE. 99",,,5800,,,0,,,,,201.0,"KINGSBURG, JCT. RTE. 99",,,4850,,,0,,,,,201.0,"KINGSBURG, JCT. RTE. 99",1850.0,1100.0, ,1150.0,1200.0,1200,1200.0,1150.0,1150.0,1200.0,201.0,"KINGSBURG, JCT. RTE. 99",19700.0,13500.0, ,14000.0,14400.0,14400,14400.0,12700.0,12800.0,13700.0,201.0,"KINGSBURG, JCT. RTE. 99",17600.0,12700.0, ,13100.0,13600.0,13600,13600.0,12400.0,12500.0,13100.0
201.0,"KINGSBURG, MARION STREET",1400.0,1300.0,1100,1350.0,1300.0,1300,1300.0,,1200.0,1250.0,201.0,"KINGSBURG, MARION STREET",14900.0,13500.0,13900,14000.0,13500.0,13500,13500.0,,12300.0,12900.0,201.0,"KINGSBURG, MARION STREET",13300.0,12600.0,13000,13000.0,12500.0,12500,12600.0,,11400.0,12000.0,201.0,"KINGSBURG, MARION STREET",960.0,830.0,1350,850.0,820.0,820,830.0,,770.0,790.0,201.0,"KINGSBURG, MARION STREET",11100.0,9200.0,13900,9500.0,9000.0,9000,9000.0,,8200.0,8200.0,201.0,"KINGSBURG, MARION STREET",10700.0,8100.0,12900,8300.0,7900.0,7900,8000.0,,7300.0,7500.0
201.0,"KINGSBURG, SIMPSON STREET",2000.0,1100.0, ,1150.0,1200.0,1200,1200.0,,1150.0,1200.0,201.0,"KINGSBURG, SIMPSON STREET",21100.0,13500.0, ,14000.0,14500.0,14500,14500.0,,12800.0,13700.0,201.0,"KINGSBURG, SIMPSON STREET",18800.0,12700.0, ,13100.0,13600.0,13600,13600.0,,12500.0,13100.0,201.0,"KINGSBURG, SIMPSON STREET",1400.0,1300.0,1100,1350.0,1300.0,1300,1300.0,,1200.0,1250.0,201.0,"KINGSBURG, SIMPSON STREET",14900.0,13600.0,13900,14000.0,13500.0,13500,13500.0,,12300.0,12900.0,201.0,"KINGSBURG, SIMPSON STREET",13300.0,12700.0,13000,13000.0,12500.0,12500,12600.0,,11400.0,12000.0
