Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
168.0,ACADEMY AVENUE,670.0,550.0,1650,720.0,730.0,810,850.0,,730.0,670.0,168.0,ACADEMY AVENUE,7000.0,6200.0,16800,7400.0,7500.0,7800,7800.0,,8200.0,8100.0,168.0,ACADEMY AVENUE,6000.0,5500.0,16000,6800.0,6900.0,7000,7300.0,,7000.0,7000.0,168.0,ACADEMY AVENUE,670.0,580.0,710,740.0,740.0,820,860.0,,720.0,680.0,168.0,ACADEMY AVENUE,7700.0,6400.0,6600,7400.0,7100.0,7400,7900.0,,7700.0,7400.0,168.0,ACADEMY AVENUE,6500.0,5900.0,6400,6600.0,6600.0,6700,7100.0,,6500.0,6900.0
168.0,ASHLAN AVENUE,8700.0,9400.0,9700,10800.0,10900.0,11200,11900.0,,9500.0,10000.0,168.0,ASHLAN AVENUE,85000.0,91000.0,104000,101000.0,105000.0,110000,111000.0,,103000.0,109000.0,168.0,ASHLAN AVENUE,80000.0,85000.0,97000,99000.0,100000.0,103000,109000.0,,93000.0,99000.0,168.0,ASHLAN AVENUE,8200.0,7700.0,10000,9000.0,9100.0,9800,9800.0,,8000.0,8400.0,168.0,ASHLAN AVENUE,77000.0,75000.0,104000,93000.0,96000.0,96000,95000.0,,87000.0,90000.0,168.0,ASHLAN AVENUE,70000.0,70000.0,97000,90000.0,91000.0,91000,91000.0,,79000.0,86000.0
168.0,AUBERRY ROAD,1150.0,1150.0,910,1550.0,540.0,550,620.0,910.0,840.0,530.0,168.0,AUBERRY ROAD,11000.0,11000.0,9400,10000.0,4500.0,4700,5500.0,6100.0,5200.0,4100.0,168.0,AUBERRY ROAD,10000.0,10000.0,8700,9100.0,3300.0,3350,3800.0,3700.0,3650.0,3200.0,168.0,AUBERRY ROAD,1100.0,1100.0,790,1550.0,1450.0,1500,660.0,1050.0,980.0,590.0,168.0,AUBERRY ROAD,10300.0,10300.0,8700,10000.0,11700.0,12200,6100.0,7300.0,5800.0,4100.0,168.0,AUBERRY ROAD,9100.0,9100.0,6900,9100.0,8600.0,8800,3850.0,4050.0,4000.0,3400.0
168.0,AUBERRY ROAD AT LODGE ROAD,910.0,910.0,420,910.0,870.0,1150,1150.0,1250.0,1200.0,1100.0,168.0,AUBERRY ROAD AT LODGE ROAD,9400.0,9400.0,4500,10300.0,9900.0,11000,11500.0,11800.0,11500.0,10600.0,168.0,AUBERRY ROAD AT LODGE ROAD,8700.0,8700.0,4000,8900.0,8500.0,9300,9300.0,9000.0,9800.0,8900.0,168.0,AUBERRY ROAD AT LODGE ROAD,800.0,800.0,910,1550.0,760.0,840,860.0,930.0,830.0,790.0,168.0,AUBERRY ROAD AT LODGE ROAD,8700.0,8700.0,9400,10000.0,7900.0,8700,8700.0,8900.0,8900.0,8100.0,168.0,AUBERRY ROAD AT LODGE ROAD,6900.0,6900.0,8700,9100.0,6800.0,6900,7000.0,6800.0,6800.0,6300.0
168.0,DINKEY CREEK ROAD,940.0,940.0,1150,1350.0,1350.0,1350,660.0,1050.0,980.0,590.0,168.0,DINKEY CREEK ROAD,10000.0,10000.0,11000,10000.0,8600.0,8900,6100.0,7300.0,5800.0,4100.0,168.0,DINKEY CREEK ROAD,7800.0,7800.0,10000,7800.0,7800.0,8000,3850.0,4050.0,4000.0,3400.0,168.0,DINKEY CREEK ROAD,540.0,540.0,1100,860.0,850.0,870,640.0,1250.0,1200.0,950.0,168.0,DINKEY CREEK ROAD,5600.0,5600.0,10300,5500.0,6000.0,6200,5600.0,6700.0,5400.0,5200.0,168.0,DINKEY CREEK ROAD,4800.0,4800.0,9100,4750.0,4700.0,4800,3550.0,3750.0,3700.0,3400.0
168.0,FLORENCE LAKE ROAD,110.0,110.0,170,270.0,270.0,270,270.0,370.0,350.0,280.0,168.0,FLORENCE LAKE ROAD,1100.0,1100.0,1200,1150.0,1150.0,1200,1900.0,2650.0,2000.0,1900.0,168.0,FLORENCE LAKE ROAD,860.0,860.0,950,1000.0,1000.0,1000,1000.0,1100.0,1100.0,1000.0,168.0,FLORENCE LAKE ROAD,,,150,,,270,270.0,270.0,270.0,270.0,168.0,FLORENCE LAKE ROAD,,,1100,,,1200,1900.0,1900.0,1900.0,1900.0,168.0,FLORENCE LAKE ROAD,,,880,,,1000,1000.0,1000.0,1000.0,1000.0
168.0,FOWLER AVENUE,3850.0,4050.0,6000,4350.0,4200.0,4900,5500.0,,4800.0,4400.0,168.0,FOWLER AVENUE,36500.0,36000.0,56000,41000.0,39500.0,42500,47000.0,,44500.0,45000.0,168.0,FOWLER AVENUE,33000.0,34500.0,53000,39500.0,38000.0,41000,45500.0,,40000.0,43000.0,168.0,FOWLER AVENUE,2650.0,2750.0,4200,3250.0,3250.0,3700,4050.0,,3650.0,3400.0,168.0,FOWLER AVENUE,24000.0,27000.0,39000,32000.0,32000.0,33000,36500.0,,34500.0,35000.0,168.0,FOWLER AVENUE,25000.0,26000.0,37000,30500.0,30500.0,32000,35000.0,,31000.0,34000.0
168.0,HERNDON AVENUE,5200.0,5300.0,7500,5800.0,5900.0,6500,7100.0,,6900.0,5600.0,168.0,HERNDON AVENUE,45500.0,47000.0,67000,55000.0,56000.0,57000,62000.0,,58000.0,55000.0,168.0,HERNDON AVENUE,45000.0,45000.0,63000,53000.0,54000.0,55000,60000.0,,52000.0,54000.0,168.0,HERNDON AVENUE,3850.0,4050.0,6000,4350.0,4200.0,4900,5500.0,,4800.0,4400.0,168.0,HERNDON AVENUE,36500.0,36000.0,56000,41000.0,39500.0,42500,47000.0,,44500.0,45000.0,168.0,HERNDON AVENUE,33000.0,34500.0,53000,39500.0,38000.0,41000,45500.0,,40000.0,43000.0
168.0,HUNTINGTON LAKE ROAD,170.0,170.0,310,290.0,290.0,290,360.0,490.0,450.0,360.0,168.0,HUNTINGTON LAKE ROAD,1200.0,1200.0,2900,1250.0,1250.0,1300,2000.0,2800.0,2100.0,1950.0,168.0,HUNTINGTON LAKE ROAD,950.0,950.0,2400,1050.0,1050.0,1050,1432.0,1450.0,1400.0,1250.0,168.0,HUNTINGTON LAKE ROAD,110.0,110.0,170,270.0,270.0,270,270.0,370.0,350.0,280.0,168.0,HUNTINGTON LAKE ROAD,1100.0,1100.0,1200,1150.0,1200.0,1250,1950.0,2750.0,2000.0,1900.0,168.0,HUNTINGTON LAKE ROAD,880.0,880.0,950,1000.0,1000.0,1000,1000.0,1100.0,1100.0,1000.0
168.0,JCT. RTE. 180,,,570,,,0,,,,,168.0,JCT. RTE. 180,,,6800,,,0,,,,,168.0,JCT. RTE. 180,,,6300,,,0,,,,,168.0,JCT. RTE. 180,8000.0,7500.0, ,9600.0,10000.0,10100,10200.0,,,9500.0,168.0,JCT. RTE. 180,77000.0,78000.0, ,101000.0,105000.0,108000,110000.0,,,102000.0,168.0,JCT. RTE. 180,67000.0,73000.0, ,95000.0,99000.0,102000,103000.0,,,96000.0
